"ENSEMBL","fc","adj.P.Val"
"ENSG00000184363",5.26114256897375,5.45210012359133e-07
"ENSG00000132185",-14.1431894643323,5.45210012359133e-07
"ENSG00000178531",4.20802052170337,5.53875025925899e-07
"ENSG00000033627",5.25536527816015,5.48411657944573e-07
"ENSG00000198521",-13.1663813824962,5.48201013291517e-07
"ENSG00000112182",-5.74105398645066,5.65774835078933e-07
"ENSG00000105223",3.58406970171443,5.36237344736877e-07
"ENSG00000105048",6.27834730355175,5.36101609812344e-07
"ENSG00000178764",-10.9960762530526,5.84494297128905e-07
"ENSG00000165802",3.41141801973556,5.48411657944573e-07
"ENSG00000139083",-7.48733435208832,5.85074494627936e-07
"ENSG00000128340",-4.27603730729997,5.5605123018422e-07
"ENSG00000145284",-25.502445180201,4.88500761130823e-07
"ENSG00000104518",-5.44946207797134,5.84431023016321e-07
"ENSG00000166813",5.09760033261517,5.93126894409207e-07
"ENSG00000123989",4.84332256313928,5.85074494627936e-07
"ENSG00000197971",-20.7962142395701,5.18096923367261e-07
"ENSG00000142185",-7.23933517518188,5.83090105073608e-07
"ENSG00000197142",-11.82581389302,5.93126894409207e-07
"ENSG00000092010",-4.01866835002839,5.64083378943818e-07
"ENSG00000070214",-17.1247086808986,5.48411657944573e-07
"ENSG00000099864",3.87172664299978,5.87658703361513e-07
"ENSG00000145675",-11.7294073612266,6.18973484356482e-07
"ENSG00000125910",-10.4960499240509,6.31864694091334e-07
"ENSG00000142875",-18.9450359004114,5.65774835078933e-07
"ENSG00000102145",6.17219712911215,5.84494297128905e-07
"ENSG00000155849",-39.6090728093967,5.87658703361513e-07
"ENSG00000164904",-13.510414251545,6.26194912390059e-07
"ENSG00000124406",-15.8303247127462,5.94674114075123e-07
"ENSG00000005189",4.39675947646474,6.2723216606821e-07
"ENSG00000123453",-8.96856339243451,6.6623140418492e-07
"ENSG00000136379",-18.9936927529376,5.55777839676044e-07
"ENSG00000185811",-3.97291056638836,6.30810403489317e-07
"ENSG00000159335",3.13282718686964,5.93664675981979e-07
